date,open,close,high,low,volume
2025-01-02,1524.0,1488.0,1524.49,1480.0,5002870.0
2025-01-03,1494.5,1475.0,1494.99,1467.01,3262836.0
2025-01-06,1453.0,1440.0,1462.66,1432.8,4425512.0
2025-01-07,1444.66,1440.2,1451.89,1439.0,2422118.0
2025-01-08,1440.0,1442.5,1451.82,1426.66,3525821.0
2025-01-09,1448.99,1444.0,1464.58,1432.98,2970565.0
2025-01-10,1447.1,1436.0,1451.95,1436.0,2187195.0
2025-01-13,1425.0,1443.98,1444.44,1422.01,2108251.0
2025-01-14,1444.95,1472.5,1478.68,1442.0,3095657.0
2025-01-15,1467.0,1471.27,1474.6,1460.01,1839934.0
2025-01-16,1474.0,1446.38,1482.66,1442.0,2634213.0
2025-01-17,1446.39,1454.75,1461.0,1446.38,1830894.0
2025-01-20,1461.0,1474.8,1489.79,1460.0,3140975.0
2025-01-21,1481.0,1468.15,1482.0,1465.0,1685604.0
2025-01-22,1463.27,1441.0,1467.95,1438.0,2829384.0
2025-01-23,1449.97,1443.0,1468.0,1438.0,2712504.0
2025-01-24,1442.0,1436.0,1447.79,1430.31,3136034.0
2025-01-27,1437.0,1434.99,1443.97,1427.02,2935646.0
2025-02-05,1440.0,1403.8,1443.0,1402.21,4075652.0
2025-02-06,1400.01,1412.84,1421.99,1400.01,2735582.0
2025-02-07,1413.68,1436.0,1442.68,1403.41,3724207.0
2025-02-10,1438.0,1431.51,1440.0,1427.09,2083979.0
2025-02-11,1434.95,1418.0,1435.96,1415.9,2357283.0
2025-02-12,1418.0,1443.0,1445.0,1416.88,2547579.0
2025-02-13,1443.02,1465.06,1475.25,1434.51,4338536.0
2025-02-14,1465.06,1475.0,1477.0,1458.22,2709992.0
2025-02-17,1481.0,1471.62,1494.98,1467.1,3247059.0
2025-02-18,1470.0,1475.0,1492.99,1462.08,2779992.0
2025-02-19,1475.05,1491.0,1494.44,1464.9,3239331.0
2025-02-20,1483.0,1474.0,1491.97,1473.39,2374973.0
2025-02-21,1480.0,1488.21,1496.73,1473.01,3641783.0
2025-02-24,1488.0,1479.07,1499.52,1474.0,3474373.0
2025-02-25,1470.01,1454.0,1473.39,1452.0,2838743.0
2025-02-26,1455.45,1460.01,1464.96,1445.0,2636609.0
2025-02-27,1460.02,1485.56,1489.9,1454.0,4976217.0
2025-02-28,1485.5,1500.79,1528.38,1482.0,5612895.0
2025-03-03,1502.6,1487.02,1520.99,1481.5,3159566.0
2025-03-04,1485.0,1470.11,1486.0,1465.21,2521121.0
2025-03-05,1472.0,1466.37,1474.0,1460.1,2460522.0
2025-03-06,1474.0,1505.98,1510.2,1472.08,4216764.0
2025-03-07,1503.0,1521.0,1528.36,1503.0,3799135.0
2025-03-10,1519.81,1522.9,1526.88,1506.14,3136907.0
2025-03-11,1517.0,1548.68,1548.68,1512.0,3977560.0
2025-03-12,1546.96,1542.58,1549.68,1526.35,2960396.0
2025-03-13,1544.0,1537.77,1555.5,1530.88,2572439.0
2025-03-14,1547.66,1628.01,1628.01,1541.0,9291315.0
2025-03-17,1657.0,1637.86,1657.99,1626.88,5468913.0
2025-03-18,1645.04,1624.0,1652.0,1621.7,3161345.0
2025-03-19,1624.29,1635.71,1648.0,1623.0,2738955.0
2025-03-20,1635.71,1604.0,1637.6,1595.07,3673677.0
2025-03-21,1599.0,1573.75,1612.2,1568.83,3361430.0
2025-03-24,1570.0,1583.0,1589.66,1562.38,2556585.0
2025-03-25,1588.0,1575.5,1592.8,1566.66,1767438.0
2025-03-26,1572.77,1576.0,1582.58,1571.0,1432356.0
2025-03-27,1576.0,1589.0,1598.25,1573.38,1795563.0
2025-03-28,1590.93,1585.21,1593.0,1576.0,1622789.0
2025-03-31,1580.98,1561.0,1586.96,1560.06,2108494.0
2025-04-01,1564.0,1556.02,1569.89,1552.21,1855644.0
2025-04-02,1558.0,1549.02,1567.8,1545.5,2167401.0
2025-04-03,1530.0,1568.88,1586.0,1529.01,3548050.0
2025-04-07,1520.01,1500.0,1536.85,1462.0,10195267.0
2025-04-08,1513.0,1545.0,1545.0,1495.0,7387649.0
2025-04-09,1525.02,1541.04,1556.8,1520.55,5563004.0
2025-04-10,1550.99,1549.0,1555.0,1528.0,3862021.0
2025-04-11,1579.97,1568.98,1579.97,1545.0,3263423.0
2025-04-14,1560.97,1551.99,1566.0,1551.53,2171144.0
2025-04-15,1552.0,1558.0,1565.0,1545.0,2148928.0
2025-04-16,1552.0,1559.17,1576.0,1537.0,3115605.0
2025-04-17,1554.0,1570.0,1576.5,1549.99,2384605.0
2025-04-18,1566.0,1565.94,1575.0,1556.0,2029848.0
2025-04-21,1565.5,1551.0,1565.5,1551.0,1805703.0
2025-04-22,1550.0,1548.8,1556.3,1543.21,1843214.0
2025-04-23,1559.0,1552.0,1559.22,1545.0,1866876.0
2025-04-24,1552.0,1552.25,1560.68,1548.98,1487181.0
2025-04-25,1557.1,1550.0,1561.2,1550.0,1476490.0
2025-04-28,1552.0,1550.0,1555.0,1546.6,1465972.0
2025-04-29,1550.0,1544.0,1552.54,1532.02,1892180.0
2025-04-30,1549.99,1547.0,1566.66,1546.3,2575425.0
2025-05-06,1559.0,1550.2,1559.0,1544.33,1830026.0
2025-05-07,1570.0,1555.0,1570.0,1550.2,2746221.0
2025-05-08,1553.0,1578.19,1592.78,1549.83,3348106.0
2025-05-09,1578.99,1591.18,1597.45,1575.05,2367190.0
2025-05-12,1598.0,1604.5,1618.93,1596.61,2473533.0
2025-05-13,1608.92,1590.3,1608.92,1585.11,2125829.0
2025-05-14,1590.0,1634.99,1645.0,1588.18,3946012.0
2025-05-15,1634.8,1632.01,1643.59,1624.13,2473285.0
2025-05-16,1633.99,1614.13,1636.99,1614.13,2293522.0
2025-05-19,1596.0,1578.98,1600.0,1573.88,3806283.0
2025-05-20,1580.0,1586.0,1594.8,1575.1,1952153.0
2025-05-21,1585.0,1580.97,1595.94,1580.97,1979464.0
2025-05-22,1580.99,1580.0,1584.99,1570.1,1509024.0
2025-05-23,1575.2,1572.6,1587.9,1571.66,2153700.0
2025-05-26,1570.0,1550.5,1574.63,1545.0,2708653.0
2025-05-27,1551.0,1543.9,1558.6,1543.51,1775213.0
2025-05-28,1543.99,1537.0,1546.46,1533.0,1626568.0
2025-05-29,1540.0,1540.0,1555.0,1532.0,2185958.0
2025-05-30,1540.15,1522.0,1545.0,1515.24,3123918.0
2025-06-03,1508.01,1509.0,1519.0,1505.02,2897918.0
2025-06-04,1510.5,1509.96,1523.0,1509.22,2300809.0
2025-06-05,1514.0,1514.0,1516.0,1502.2,2321366.0
2025-06-06,1513.8,1506.39,1518.97,1503.0,2502307.0
2025-06-09,1505.02,1486.11,1508.7,1485.68,4495867.0
2025-06-10,1486.0,1475.01,1492.0,1474.8,3049220.0
2025-06-11,1476.8,1480.0,1494.0,1476.1,3089282.0
2025-06-12,1480.0,1459.0,1483.87,1454.1,4990361.0
2025-06-13,1444.41,1426.95,1449.97,1425.06,5911325.0
2025-06-16,1401.2,1422.29,1425.04,1401.18,4288787.0
2025-06-17,1420.0,1427.0,1427.0,1412.18,2723151.0
2025-06-18,1440.0,1425.0,1443.44,1421.01,3076099.0
2025-06-19,1426.0,1426.0,1433.67,1417.18,2450072.0
2025-06-20,1423.58,1428.66,1441.14,1420.2,3481581.0
2025-06-23,1420.0,1420.0,1433.0,1405.18,2672331.0
2025-06-24,1423.35,1437.2,1451.68,1423.35,3631151.0
2025-06-25,1439.11,1435.86,1449.2,1420.51,4105007.0
2025-06-26,1415.0,1420.0,1428.0,1410.08,3486025.0
2025-06-27,1420.01,1403.09,1423.0,1403.09,3824973.0
2025-06-30,1403.5,1409.52,1413.23,1402.0,3045730.0
2025-07-01,1409.0,1405.1,1411.94,1403.31,1987819.0
2025-07-02,1409.5,1409.6,1414.8,1400.0,2621825.0
2025-07-03,1412.0,1415.6,1422.69,1408.0,2441267.0
2025-07-04,1415.7,1422.22,1431.89,1410.01,2876691.0
2025-07-07,1422.28,1410.7,1423.5,1410.01,2385467.0
2025-07-08,1410.71,1416.11,1420.0,1410.7,1867370.0
2025-07-09,1415.0,1418.88,1429.97,1414.17,2774532.0
2025-07-10,1418.97,1426.5,1436.18,1410.4,3872503.0
2025-07-11,1423.16,1427.0,1458.0,1423.16,5724335.0
2025-07-14,1430.0,1423.6,1434.98,1421.6,2778094.0
2025-07-15,1420.98,1411.0,1422.93,1408.32,3540578.0
2025-07-16,1410.01,1411.03,1417.49,1409.95,2128605.0
2025-07-17,1413.98,1416.35,1423.01,1412.88,2310554.0
2025-07-18,1420.0,1437.0,1437.81,1416.38,4182341.0
2025-07-21,1436.99,1443.0,1446.8,1435.0,2620331.0
2025-07-22,1444.0,1464.98,1466.6,1440.68,4211898.0
2025-07-23,1469.0,1475.5,1495.0,1468.95,4504484.0
2025-07-24,1476.0,1491.5,1499.0,1475.0,3880364.0
2025-07-25,1491.4,1455.0,1491.4,1453.0,4191126.0
2025-07-28,1453.0,1438.66,1454.99,1436.3,3858632.0
2025-07-29,1439.6,1439.0,1448.79,1435.01,2630408.0
2025-07-30,1444.0,1449.44,1457.16,1437.0,3186771.0
2025-07-31,1443.0,1421.67,1444.87,1418.0,5179751.0
2025-08-01,1421.87,1417.0,1425.96,1414.0,2963559.0
2025-08-04,1415.0,1419.0,1419.8,1414.0,1868795.0
2025-08-05,1421.0,1427.74,1429.94,1417.11,2534227.0
2025-08-06,1429.0,1423.88,1429.0,1419.3,2369928.0
2025-08-07,1423.88,1422.35,1427.7,1420.06,2800134.0
2025-08-08,1423.05,1420.97,1426.5,1418.0,1865528.0
2025-08-11,1423.5,1445.0,1451.99,1423.0,4715907.0
2025-08-12,1449.0,1437.04,1465.07,1436.0,4201923.0
2025-08-13,1425.0,1420.05,1433.68,1420.0,6552754.0
2025-08-14,1420.94,1426.99,1447.51,1420.94,4812930.0
2025-08-15,1426.01,1422.08,1428.66,1420.22,4758165.0
2025-08-18,1426.99,1428.5,1436.64,1423.1,4737798.0
2025-08-19,1433.5,1438.0,1446.66,1432.0,4637186.0
2025-08-20,1438.0,1450.0,1452.8,1430.02,4580466.0
2025-08-21,1453.45,1448.25,1454.99,1443.65,3089057.0
2025-08-22,1448.88,1463.95,1464.0,1444.77,4497058.0
