date,open,close,high,low,volume
2025-01-02,52.05,50.3,52.6,49.34,49670222.0
2025-01-03,50.4,48.26,50.65,47.89,41498576.0
2025-01-06,48.8,47.15,50.12,46.8,37017962.0
2025-01-07,47.13,48.66,49.09,46.9,44411318.0
2025-01-08,47.87,49.09,49.55,46.66,50853164.0
2025-01-09,48.46,50.36,51.58,48.37,62838553.0
2025-01-10,49.27,48.76,51.54,48.63,50228453.0
2025-01-13,47.81,50.0,50.59,47.02,38975081.0
2025-01-14,51.14,54.6,54.6,49.91,61570238.0
2025-01-15,53.2,52.37,54.19,51.74,46121971.0
2025-01-16,53.62,53.19,56.9,53.16,57996258.0
2025-01-17,52.2,52.73,53.63,51.14,39397690.0
2025-01-20,53.52,54.15,55.3,52.8,38506484.0
2025-01-21,55.98,55.25,57.31,54.61,51519249.0
2025-01-22,55.25,57.71,59.58,55.1,63465595.0
2025-01-23,58.0,55.12,59.45,54.67,50454583.0
2025-01-24,55.22,60.22,61.0,55.22,65442318.0
2025-01-27,62.93,59.62,63.33,57.6,66449586.0
2025-02-05,61.99,62.0,66.59,61.16,66524690.0
2025-02-06,60.11,62.08,62.61,59.1,59015098.0
2025-02-07,62.81,62.01,65.8,60.11,72169480.0
2025-02-10,61.99,61.29,62.97,59.62,59560681.0
2025-02-11,60.4,58.05,61.66,56.8,55009294.0
2025-02-12,57.3,58.99,60.6,57.2,47055841.0
2025-02-13,59.0,56.61,59.0,56.49,38483546.0
2025-02-14,56.61,57.2,57.5,55.34,37474604.0
2025-02-17,59.9,60.16,61.92,58.73,54725507.0
2025-02-18,59.32,55.34,59.86,55.1,47241688.0
2025-02-19,55.35,56.18,56.5,54.78,30513716.0
2025-02-20,56.0,57.15,57.94,55.76,33097588.0
2025-02-21,60.0,68.58,68.58,59.54,91394073.0
2025-02-24,69.82,70.82,74.8,69.0,99847134.0
2025-02-25,68.29,67.99,70.16,65.17,62299232.0
2025-02-26,68.01,68.53,69.59,65.43,55718485.0
2025-02-27,67.8,65.17,68.55,63.92,45833588.0
2025-02-28,64.3,62.0,65.38,61.25,34303109.0
2025-03-03,62.6,62.06,63.63,59.72,34635021.0
2025-03-04,60.1,61.58,62.23,59.48,31227901.0
2025-03-05,63.1,67.33,68.89,61.49,55418009.0
2025-03-06,68.38,68.25,71.11,66.1,65314026.0
2025-03-07,66.99,65.99,67.99,65.01,39440295.0
2025-03-10,65.25,65.35,66.43,64.65,20631890.0
2025-03-11,64.7,67.6,67.6,64.4,36468909.0
2025-03-12,68.17,66.6,70.98,66.6,49848987.0
2025-03-13,66.65,64.4,66.88,63.6,30688959.0
2025-03-14,64.0,66.19,67.0,64.0,28546669.0
2025-03-17,65.9,64.95,65.96,64.3,18690918.0
2025-03-18,65.59,65.67,67.68,65.4,26245000.0
2025-03-19,66.0,63.98,66.81,63.69,22833865.0
2025-03-20,62.3,62.0,63.48,60.44,27487944.0
2025-03-21,62.56,60.49,62.61,60.21,22482588.0
2025-03-24,60.8,59.99,61.44,58.6,21060332.0
2025-03-25,59.68,55.67,60.3,55.38,36041289.0
2025-03-26,56.0,56.69,57.6,56.0,17705087.0
2025-03-27,56.69,55.71,57.58,55.57,16140992.0
2025-03-28,57.5,56.1,58.48,56.02,29824938.0
2025-03-31,56.41,57.14,57.66,55.06,26498469.0
2025-04-01,57.43,56.08,57.6,55.85,17073692.0
2025-04-02,55.89,57.13,57.29,55.57,16029509.0
2025-04-03,56.45,56.06,57.34,55.3,13239727.0
2025-04-07,51.0,50.24,52.99,46.0,39187889.0
2025-04-08,51.35,50.0,51.49,48.52,29244492.0
2025-04-09,49.0,51.59,52.15,48.15,29350350.0
2025-04-10,55.0,52.55,55.0,52.55,26100159.0
2025-04-11,52.88,54.81,55.96,52.56,25119974.0
2025-04-14,55.05,54.15,55.88,53.95,17800127.0
2025-04-15,53.9,54.79,55.26,53.25,17558780.0
2025-04-16,54.06,52.92,54.51,51.73,17827924.0
2025-04-17,52.0,52.0,53.19,51.55,13209419.0
2025-04-18,52.0,52.21,53.16,51.63,10418068.0
2025-04-21,52.67,54.33,54.8,51.6,18800681.0
2025-04-22,53.73,52.82,54.27,52.53,15115040.0
2025-04-23,53.22,54.3,54.92,53.21,18432999.0
2025-04-24,46.24,46.61,50.0,45.1,66416478.0
2025-04-25,46.22,45.8,46.85,45.3,35273345.0
2025-04-28,46.04,46.31,47.3,45.36,27626168.0
2025-04-29,46.58,46.3,46.91,46.07,20039746.0
2025-04-30,46.4,48.57,48.78,46.4,30147469.0
2025-05-06,49.5,50.48,51.44,49.0,28094511.0
2025-05-07,50.48,48.26,50.8,47.4,46987808.0
2025-05-08,48.0,48.27,48.59,47.6,21046561.0
2025-05-09,48.09,46.73,48.09,46.48,23113257.0
2025-05-12,47.29,47.06,47.36,46.69,15574765.0
2025-05-13,47.7,46.48,47.98,46.3,20714625.0
2025-05-14,46.5,46.46,46.98,46.0,16549532.0
2025-05-15,46.38,44.27,46.39,44.26,26389523.0
2025-05-16,44.09,44.6,45.15,43.73,18111670.0
2025-05-19,44.55,44.55,44.75,43.9,13299497.0
2025-05-20,44.7,45.23,45.37,44.31,17746202.0
2025-05-21,45.13,45.26,45.49,44.78,12551879.0
2025-05-22,44.96,44.49,45.21,44.38,12593923.0
2025-05-23,44.42,43.44,44.85,43.44,15514419.0
2025-05-26,43.54,45.18,45.7,43.54,24517830.0
2025-05-27,44.81,44.2,45.33,44.08,14379257.0
2025-05-28,44.3,43.79,44.57,43.51,11811523.0
2025-05-29,43.71,44.14,44.49,43.71,13095352.0
2025-05-30,43.94,42.93,43.94,42.81,15099689.0
2025-06-03,42.06,42.34,43.43,42.06,16117926.0
2025-06-04,42.76,43.52,44.44,42.52,20340330.0
